date,cloud_cover,precipitation,min_temp,max_temp,morning_temp,afternoon_temp,evening_temp,night_temp,max_windspeed
2022-01-01,90.0,0.18,273.83,278.76,278.76,276.72,274.95,276.73,6.71
2022-01-02,90.0,13.81,265.82,273.58,271.06,270.17,266.28,273.58,8.23
2022-01-03,16.0,0.0,259.03,270.02,267.46,262.18,259.38,268.82,4.02
2022-01-04,4.0,0.0,265.39,272.24,265.39,267.02,267.2,266.07,4.47
2022-01-05,64.0,0.25,262.91,273.92,272.89,273.56,267.7,272.95,7.6
2022-01-06,75.0,0.0,258.54,262.25,261.76,261.48,258.97,262.25,6.71
2022-01-07,100.0,0.0,254.63,263.48,261.46,257.14,254.82,262.89,3.13
2022-01-08,89.0,0.0,260.56,267.86,260.56,262.52,263.89,261.73,4.02
2022-01-09,100.0,2.82,266.83,274.06,271.38,274.0,272.5,268.88,7.78
2022-01-10,17.0,0.24,260.65,266.95,262.98,260.78,263.15,266.9,7.31
2022-01-11,18.0,0.0,257.66,265.52,260.54,258.1,258.43,264.66,5.36
2022-01-12,97.0,0.0,267.47,276.14,273.61,274.52,273.04,267.47,6.26
2022-01-13,75.0,0.0,272.44,277.5,275.09,272.44,274.47,277.16,3.58
2022-01-14,34.0,0.0,272.25,276.93,275.23,274.9,273.43,276.7,4.47
2022-01-15,100.0,2.47,267.13,272.37,271.79,269.46,267.63,272.23,5.36
2022-01-16,13.0,0.0,263.81,268.38,267.24,266.11,263.81,268.17,4.02
2022-01-17,100.0,0.7,268.04,270.77,269.52,268.07,268.48,269.12,4.47
2022-01-18,1.0,0.0,266.36,273.1,270.4,267.71,267.37,270.29,4.02
2022-01-19,92.0,0.0,266.33,279.3,278.29,277.41,270.78,274.65,5.36
2022-01-20,20.0,0.0,258.95,266.89,264.2,261.25,259.35,266.87,6.26
2022-01-21,20.0,0.0,260.74,267.48,263.46,260.74,262.06,264.21,4.02
2022-01-22,90.0,0.0,265.58,269.31,266.95,265.74,266.09,268.02,3.58
2022-01-23,90.0,7.52,264.24,273.27,269.69,266.49,266.47,270.78,5.36
2022-01-24,43.0,5.01,260.05,269.83,262.07,261.66,264.9,265.9,5.36
2022-01-25,24.0,0.0,257.16,269.79,264.14,261.17,257.56,269.79,5.36
2022-01-26,11.0,0.0,251.85,262.38,258.82,255.03,252.22,262.15,4.02
2022-01-27,81.0,0.0,259.01,271.18,259.34,262.22,266.77,259.26,4.02
2022-01-28,100.0,6.18,264.2,273.17,271.5,270.1,265.18,271.49,5.14
2022-01-29,40.0,1.11,259.19,268.43,264.71,261.6,259.58,266.96,4.12
2022-01-30,72.0,0.5,262.19,270.13,266.64,265.21,262.35,266.47,2.68
2022-01-31,100.0,0.0,265.17,273.07,270.66,269.43,267.17,271.41,3.6
2022-02-01,90.0,0.5,272.22,279.32,272.35,273.19,275.11,273.89,5.45
2022-02-02,100.0,21.81,265.37,280.29,276.36,272.69,268.65,280.11,5.66
2022-02-03,100.0,3.8,264.53,266.64,266.27,264.53,265.36,265.27,7.15
2022-02-04,99.0,0.0,262.06,268.45,268.08,265.74,262.3,266.6,5.81
2022-02-05,20.0,0.63,257.36,269.12,265.98,261.09,257.8,268.81,5.36
2022-02-06,39.0,0.0,263.01,271.46,263.14,264.51,265.18,265.28,4.47
2022-02-07,75.0,0.17,266.87,273.88,271.55,271.94,267.15,272.34,4.63
2022-02-08,9.0,0.0,264.61,271.99,267.06,265.41,265.9,268.37,3.58
2022-02-09,100.0,0.0,272.9,276.88,274.99,275.73,272.9,273.25,4.47
2022-02-10,88.0,0.15,271.41,278.04,275.97,274.27,271.77,277.89,5.36
2022-02-11,100.0,4.42,270.26,277.67,270.26,273.33,276.05,271.98,4.02
2022-02-12,93.0,0.69,262.59,279.63,274.14,270.79,263.43,278.06,4.02
2022-02-13,98.0,0.0,262.22,266.17,264.36,263.58,262.32,265.51,4.02
2022-02-14,84.0,0.0,262.54,265.49,263.76,262.84,263.06,264.51,3.6
2022-02-15,100.0,0.0,266.69,272.58,268.79,268.72,267.31,266.69,3.09
2022-02-16,100.0,0.0,273.97,282.0,274.47,279.73,280.34,273.97,6.69
2022-02-17,100.0,11.77,271.12,284.24,283.74,277.28,272.77,282.91,4.47
2022-02-18,81.0,6.12,260.39,270.56,266.79,263.55,260.39,270.56,4.92
2022-02-19,77.0,0.0,260.71,271.91,269.39,269.71,261.36,267.44,6.71
2022-02-20,56.0,0.0,263.79,278.54,265.08,264.43,269.7,264.57,5.81
2022-02-21,75.0,0.0,273.9,281.67,279.21,276.16,273.9,280.01,9.77
2022-02-22,100.0,11.27,274.58,282.09,279.05,282.09,276.22,279.56,4.02
2022-02-23,100.0,6.68,263.96,274.69,270.62,268.49,264.92,274.38,5.36
2022-02-24,100.0,0.0,267.02,269.67,267.02,267.35,268.59,267.12,4.02
2022-02-25,100.0,6.22,266.1,270.49,269.65,269.31,267.45,269.91,4.63
2022-02-26,94.0,1.05,262.44,271.57,269.43,265.19,262.44,271.29,4.47
2022-02-27,4.0,0.0,270.01,275.7,271.9,270.8,270.31,270.34,3.58
2022-02-28,3.0,0.0,270.29,280.41,274.8,270.51,270.43,276.97,4.47
2022-03-01,97.0,0.0,277.29,284.45,281.13,278.25,277.52,282.28,5.81
2022-03-02,37.0,0.0,273.23,283.64,277.05,274.67,273.48,281.9,3.13
2022-03-03,91.0,0.0,271.33,287.12,280.41,274.15,271.42,283.63,4.92
2022-03-04,93.0,0.0,270.35,276.4,271.54,270.35,270.59,273.82,4.47
2022-03-05,100.0,0.0,276.07,288.65,276.07,277.52,277.38,277.41,4.74
2022-03-06,100.0,0.26,275.49,293.2,292.01,286.6,276.4,291.0,13.89
2022-03-07,100.0,17.28,272.56,278.62,276.77,274.7,273.11,276.98,3.58
2022-03-08,72.0,2.69,269.85,274.67,273.62,271.96,269.96,274.32,4.02
2022-03-09,82.0,0.0,270.97,277.47,275.44,271.0,272.5,275.37,3.13
2022-03-10,63.0,0.0,268.33,278.27,275.11,270.48,268.33,278.08,4.02
2022-03-11,100.0,2.08,266.66,271.62,269.06,268.16,266.66,270.98,5.14
2022-03-12,38.0,0.89,261.37,272.63,269.49,264.09,261.39,272.01,11.32
2022-03-13,100.0,0.0,265.92,278.71,266.79,266.71,270.49,265.92,7.2
2022-03-14,98.0,0.0,277.68,287.99,280.45,277.75,277.96,282.15,6.17
2022-03-15,100.0,0.0,275.74,290.1,279.95,276.21,275.96,288.89,4.12
2022-03-16,0.0,0.0,275.9,292.06,277.39,275.9,278.31,282.35,5.66
2022-03-17,38.0,0.0,282.14,293.61,289.61,284.95,283.16,292.85,4.47
2022-03-18,100.0,0.71,277.61,292.22,283.15,280.91,277.61,292.22,8.75
2022-03-19,100.0,15.08,275.79,278.45,277.43,276.8,275.79,278.45,6.69
2022-03-20,0.0,3.12,273.24,287.45,278.55,275.11,274.96,276.7,4.02
2022-03-21,100.0,0.0,280.53,294.44,284.95,281.44,282.74,288.64,4.02
2022-03-22,100.0,0.58,283.04,296.43,291.51,285.77,283.71,295.71,9.77
2022-03-23,100.0,3.45,281.08,286.19,282.18,281.56,284.22,283.85,8.23
2022-03-24,100.0,3.77,278.55,286.97,283.93,280.2,278.55,286.97,7.72
2022-03-25,100.0,6.87,276.77,280.75,277.22,276.77,277.01,278.92,5.66
2022-03-26,100.0,0.25,271.85,280.98,277.27,274.24,272.89,279.02,13.38
2022-03-27,56.0,0.0,267.95,272.8,271.2,269.61,268.5,271.93,8.75
2022-03-28,0.0,0.0,268.25,273.78,270.69,268.99,269.33,273.33,7.2
2022-03-29,100.0,0.0,270.44,276.49,270.59,271.37,271.75,273.32,5.66
2022-03-30,100.0,8.73,277.55,286.38,277.94,279.63,282.79,277.55,8.75
2022-03-31,100.0,37.38,275.75,288.44,287.47,281.28,275.92,286.82,7.2
2022-04-01,100.0,2.64,272.74,277.69,274.73,273.46,272.96,275.92,7.2
2022-04-02,66.0,0.48,273.76,279.42,275.71,274.06,275.33,278.46,5.66
2022-04-03,12.0,12.62,273.13,280.81,275.38,274.73,274.94,276.77,6.17
2022-04-04,100.0,4.59,277.36,283.48,277.4,278.28,280.77,281.4,5.81
2022-04-05,21.0,0.0,276.38,283.66,280.84,278.72,276.65,280.2,5.36
2022-04-06,100.0,11.07,280.73,285.34,281.97,284.55,280.73,282.91,8.75
2022-04-07,84.0,0.0,277.58,286.12,282.81,279.07,278.18,285.79,9.77
2022-04-08,40.0,5.42,275.97,279.4,278.08,276.47,276.09,279.4,9.77
2022-04-09,84.0,5.94,272.98,279.34,274.67,273.13,274.52,276.71,6.69
2022-04-10,40.0,0.0,274.32,287.28,277.61,274.8,277.99,279.93,9.77
2022-04-11,100.0,0.0,284.27,289.16,287.96,288.67,284.54,288.12,10.8
2022-04-12,0.0,0.0,279.8,291.47,286.76,281.8,282.96,287.07,9.26
