date,cloud_cover,precipitation,min_temp,max_temp,morning_temp,afternoon_temp,evening_temp,night_temp,max_windspeed
2022-01-01,90.0,0.18,33.22,42.1,42.1,38.43,35.24,38.44,15.01
2022-01-02,90.0,13.81,18.81,32.77,28.24,26.64,19.63,32.77,18.41
2022-01-03,16.0,0.0,6.58,26.37,21.76,12.25,7.21,24.21,8.99
2022-01-04,4.0,0.0,18.03,30.36,18.03,20.97,21.29,19.26,10.0
2022-01-05,64.0,0.25,13.57,33.39,31.53,32.74,22.19,31.64,17.0
2022-01-06,75.0,0.0,5.7,12.38,11.5,10.99,6.48,12.38,15.01
2022-01-07,100.0,0.0,-1.34,14.59,10.96,3.18,-0.99,13.53,7.0
2022-01-08,89.0,0.0,9.34,22.48,9.34,12.87,15.33,11.44,8.99
2022-01-09,100.0,2.82,20.62,33.64,28.81,33.53,30.83,24.31,17.4
2022-01-10,17.0,0.24,9.5,20.84,13.69,9.73,14.0,20.75,16.35
2022-01-11,18.0,0.0,4.12,18.27,9.3,4.91,5.5,16.72,11.99
2022-01-12,97.0,0.0,21.78,37.38,32.83,34.47,31.8,21.78,14.0
2022-01-13,75.0,0.0,30.72,39.83,35.49,30.72,34.38,39.22,8.01
2022-01-14,34.0,0.0,30.38,38.8,35.74,35.15,32.5,38.39,10.0
2022-01-15,100.0,2.47,21.16,30.6,29.55,25.36,22.06,30.34,11.99
2022-01-16,13.0,0.0,15.19,23.41,21.36,19.33,15.19,23.04,8.99
2022-01-17,100.0,0.7,22.8,27.72,25.47,22.86,23.59,24.75,10.0
2022-01-18,1.0,0.0,19.78,31.91,27.05,22.21,21.6,26.85,8.99
2022-01-19,92.0,0.0,19.72,43.07,41.25,39.67,27.73,34.7,11.99
2022-01-20,20.0,0.0,6.44,20.73,15.89,10.58,7.16,20.7,14.0
2022-01-21,20.0,0.0,9.66,21.79,14.56,9.66,12.04,15.91,8.99
2022-01-22,90.0,0.0,18.37,25.09,20.84,18.66,19.29,22.77,8.01
2022-01-23,90.0,7.52,15.96,32.22,25.77,20.01,19.98,27.73,11.99
2022-01-24,43.0,5.01,8.42,26.02,12.06,11.32,17.15,18.95,11.99
2022-01-25,24.0,0.0,3.22,25.95,15.78,10.44,3.94,25.95,11.99
2022-01-26,11.0,0.0,-6.34,12.61,6.21,-0.62,-5.67,12.2,8.99
2022-01-27,81.0,0.0,6.55,28.45,7.14,12.33,20.52,7.0,8.99
